[mistral_nemo] task=qa track=A  total=1000  done=997  todo=3
  [mistral_nemo] qa/A -> full_ecot_run/results/mistral_nemo/qa_gt_ecot.csv
[mistral_nemo] task=qa track=B  total=4000  done=196  todo=3804
  [mistral_nemo] qa/B  20/3804  rate=0.36/s  eta=175.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/4
  [mistral_nemo] reasoning/A  180/1000  rate=0.15/s  eta=90.4min  last: verdict_model=yes  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] reasoning/A  200/1000  rate=0.15/s  eta=89.1min  last: verdict_model=yes  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] reasoning/A  220/1000  rate=0.15/s  eta=86.6min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/5
  [mistral_nemo] reasoning/A  240/1000  rate=0.15/s  eta=85.0min  last: verdict_model=yes  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] reasoning/A  260/1000  rate=0.15/s  eta=82.9min  last: verdict_model=yes  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] reasoning/A  280/1000  rate=0.15/s  eta=80.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/4
  [mistral_nemo] reasoning/A  300/1000  rate=0.15/s  eta=78.2min  last: verdict_model=no  agg=no  sup/con/mis=6/0/0
  [mistral_nemo] reasoning/A  320/1000  rate=0.15/s  eta=76.2min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] reasoning/A  340/1000  rate=0.15/s  eta=74.4min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] reasoning/A  360/1000  rate=0.15/s  eta=72.1min  last: verdict_model=yes  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] reasoning/A  380/1000  rate=0.15/s  eta=70.1min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] reasoning/A  400/1000  rate=0.15/s  eta=67.7min  last: verdict_model=no  agg=no  sup/con/mis=6/0/0
  [mistral_nemo] reasoning/A  420/1000  rate=0.15/s  eta=65.4min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/5
  [mistral_nemo] reasoning/A  440/1000  rate=0.15/s  eta=63.3min  last: verdict_model=no  agg=no  sup/con/mis=6/0/0
  [mistral_nemo] reasoning/A  460/1000  rate=0.15/s  eta=61.4min  last: verdict_model=yes  agg=no  sup/con/mis=5/0/1
  [mistral_nemo] reasoning/A  480/1000  rate=0.15/s  eta=59.3min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] reasoning/A  500/1000  rate=0.15/s  eta=57.3min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] reasoning/A  520/1000  rate=0.14/s  eta=55.4min  last: verdict_model=yes  agg=yes  sup/con/mis=4/0/2
  [mistral_nemo] reasoning/A  540/1000  rate=0.14/s  eta=53.2min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] reasoning/A  560/1000  rate=0.14/s  eta=51.0min  last: verdict_model=yes  agg=yes  sup/con/mis=4/0/3
  [mistral_nemo] reasoning/A  580/1000  rate=0.14/s  eta=48.8min  last: verdict_model=yes  agg=yes  sup/con/mis=2/0/3
  [mistral_nemo] reasoning/A  600/1000  rate=0.14/s  eta=46.5min  last: verdict_model=no  agg=no  sup/con/mis=6/0/0
  [mistral_nemo] reasoning/A  620/1000  rate=0.14/s  eta=44.6min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] reasoning/A  640/1000  rate=0.14/s  eta=42.4min  last: verdict_model=no  agg=no  sup/con/mis=6/0/0
  [mistral_nemo] reasoning/A  660/1000  rate=0.14/s  eta=40.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/4
  [mistral_nemo] reasoning/A  680/1000  rate=0.14/s  eta=37.8min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/5
  [mistral_nemo] reasoning/A  700/1000  rate=0.14/s  eta=35.6min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] reasoning/A  720/1000  rate=0.14/s  eta=33.4min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] reasoning/A  740/1000  rate=0.14/s  eta=31.2min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/3
  [mistral_nemo] reasoning/A  760/1000  rate=0.14/s  eta=28.9min  last: verdict_model=no  agg=yes  sup/con/mis=5/0/3
  [mistral_nemo] reasoning/A  780/1000  rate=0.14/s  eta=26.6min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/3
  [mistral_nemo] reasoning/A  800/1000  rate=0.14/s  eta=24.3min  last: verdict_model=yes  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] reasoning/A  820/1000  rate=0.14/s  eta=22.0min  last: verdict_model=no  agg=no  sup/con/mis=6/0/0
  [mistral_nemo] reasoning/A  840/1000  rate=0.14/s  eta=19.7min  last: verdict_model=yes  agg=yes  sup/con/mis=4/1/1
  [mistral_nemo] reasoning/A  860/1000  rate=0.14/s  eta=17.2min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] reasoning/A  880/1000  rate=0.13/s  eta=14.9min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] reasoning/A  900/1000  rate=0.13/s  eta=12.4min  last: verdict_model=no  agg=no  sup/con/mis=6/0/0
  [mistral_nemo] reasoning/A  920/1000  rate=0.13/s  eta=10.0min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/5
  [mistral_nemo] reasoning/A  940/1000  rate=0.13/s  eta=7.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/7
  [mistral_nemo] reasoning/A  960/1000  rate=0.13/s  eta=5.0min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] reasoning/A  980/1000  rate=0.13/s  eta=2.5min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/5
  [mistral_nemo] reasoning/A  1000/1000  rate=0.13/s  eta=0.0min  last: verdict_model=no  agg=no  sup/con/mis=7/0/0
  [mistral_nemo] reasoning/A -> full_ecot_run/results/mistral_nemo/reasoning_gt_ecot.csv
[mistral_nemo] task=reasoning track=B  total=1000  done=0  todo=1000
  [mistral_nemo] reasoning/B  20/1000  rate=0.19/s  eta=86.3min  last: verdict_model=yes  agg=yes  sup/con/mis=2/1/3
  [mistral_nemo] reasoning/B  40/1000  rate=0.19/s  eta=85.4min  last: verdict_model=yes  agg=yes  sup/con/mis=2/1/0
  [mistral_nemo] reasoning/B  60/1000  rate=0.18/s  eta=85.1min  last: verdict_model=yes  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] reasoning/B  80/1000  rate=0.18/s  eta=85.5min  last: verdict_model=yes  agg=yes  sup/con/mis=3/1/1
  [mistral_nemo] reasoning/B  100/1000  rate=0.18/s  eta=83.2min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/3
  [mistral_nemo] reasoning/B  120/1000  rate=0.18/s  eta=82.8min  last: verdict_model=yes  agg=yes  sup/con/mis=1/2/3
  [mistral_nemo] reasoning/B  140/1000  rate=0.18/s  eta=81.4min  last: verdict_model=yes  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] reasoning/B  160/1000  rate=0.17/s  eta=80.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/3
  [mistral_nemo] reasoning/B  180/1000  rate=0.17/s  eta=78.2min  last: verdict_model=yes  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] reasoning/B  200/1000  rate=0.17/s  eta=77.7min  last: verdict_model=yes  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] reasoning/B  220/1000  rate=0.17/s  eta=75.5min  last: verdict_model=yes  agg=yes  sup/con/mis=1/2/3
  [mistral_nemo] reasoning/B  240/1000  rate=0.17/s  eta=74.2min  last: verdict_model=yes  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] reasoning/B  260/1000  rate=0.17/s  eta=71.9min  last: verdict_model=yes  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] reasoning/B  280/1000  rate=0.17/s  eta=70.0min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/4
  [mistral_nemo] reasoning/B  300/1000  rate=0.17/s  eta=68.2min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/4
  [mistral_nemo] reasoning/B  320/1000  rate=0.17/s  eta=66.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/1/2
  [mistral_nemo] reasoning/B  340/1000  rate=0.17/s  eta=64.5min  last: verdict_model=yes  agg=yes  sup/con/mis=2/1/1
  [mistral_nemo] reasoning/B  360/1000  rate=0.17/s  eta=62.2min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] reasoning/B  380/1000  rate=0.17/s  eta=60.2min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/3
  [mistral_nemo] reasoning/B  400/1000  rate=0.17/s  eta=58.4min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] reasoning/B  420/1000  rate=0.17/s  eta=56.5min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/2
  [mistral_nemo] reasoning/B  440/1000  rate=0.17/s  eta=54.5min  last: verdict_model=yes  agg=yes  sup/con/mis=2/1/3
  [mistral_nemo] reasoning/B  460/1000  rate=0.17/s  eta=52.9min  last: verdict_model=yes  agg=yes  sup/con/mis=2/0/7
  [mistral_nemo] reasoning/B  480/1000  rate=0.17/s  eta=51.2min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/3
  [mistral_nemo] reasoning/B  500/1000  rate=0.17/s  eta=49.4min  last: verdict_model=yes  agg=yes  sup/con/mis=2/1/2
  [mistral_nemo] reasoning/B  520/1000  rate=0.17/s  eta=47.5min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] reasoning/B  540/1000  rate=0.17/s  eta=45.7min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/2
  [mistral_nemo] reasoning/B  560/1000  rate=0.17/s  eta=43.9min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/3
  [mistral_nemo] reasoning/B  580/1000  rate=0.17/s  eta=42.0min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/2
  [mistral_nemo] reasoning/B  600/1000  rate=0.17/s  eta=40.1min  last: verdict_model=yes  agg=yes  sup/con/mis=2/0/3
  [mistral_nemo] reasoning/B  620/1000  rate=0.17/s  eta=38.1min  last: verdict_model=yes  agg=yes  sup/con/mis=0/2/4
  [mistral_nemo] reasoning/B  640/1000  rate=0.17/s  eta=36.1min  last: verdict_model=yes  agg=yes  sup/con/mis=2/0/4
  [mistral_nemo] reasoning/B  660/1000  rate=0.17/s  eta=34.2min  last: verdict_model=yes  agg=yes  sup/con/mis=2/0/3
  [mistral_nemo] reasoning/B  680/1000  rate=0.17/s  eta=32.2min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/1
  [mistral_nemo] reasoning/B  700/1000  rate=0.17/s  eta=30.3min  last: verdict_model=yes  agg=yes  sup/con/mis=2/1/1
  [mistral_nemo] reasoning/B  720/1000  rate=0.16/s  eta=28.4min  last: verdict_model=yes  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] reasoning/B  740/1000  rate=0.16/s  eta=26.5min  last: verdict_model=yes  agg=yes  sup/con/mis=2/1/4
  [mistral_nemo] reasoning/B  760/1000  rate=0.16/s  eta=24.5min  last: verdict_model=yes  agg=yes  sup/con/mis=2/0/3
  [mistral_nemo] reasoning/B  780/1000  rate=0.16/s  eta=22.6min  last: verdict_model=yes  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] reasoning/B  800/1000  rate=0.16/s  eta=20.5min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/5
  [mistral_nemo] reasoning/B  820/1000  rate=0.16/s  eta=18.6min  last: verdict_model=yes  agg=yes  sup/con/mis=2/1/4
  [mistral_nemo] reasoning/B  840/1000  rate=0.16/s  eta=16.6min  last: verdict_model=yes  agg=yes  sup/con/mis=4/1/1
  [mistral_nemo] reasoning/B  860/1000  rate=0.16/s  eta=14.5min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/3
  [mistral_nemo] reasoning/B  880/1000  rate=0.16/s  eta=12.4min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] reasoning/B  900/1000  rate=0.16/s  eta=10.4min  last: verdict_model=no  agg=no  sup/con/mis=6/0/0
  [mistral_nemo] reasoning/B  920/1000  rate=0.16/s  eta=8.3min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/3
  [mistral_nemo] reasoning/B  940/1000  rate=0.16/s  eta=6.3min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/5
  [mistral_nemo] reasoning/B  960/1000  rate=0.16/s  eta=4.2min  last: verdict_model=yes  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] reasoning/B  980/1000  rate=0.16/s  eta=2.1min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/4
  [mistral_nemo] reasoning/B  1000/1000  rate=0.16/s  eta=0.0min  last: verdict_model=yes  agg=no  sup/con/mis=6/0/1
  [mistral_nemo] reasoning/B -> full_ecot_run/results/mistral_nemo/reasoning_hallu_ecot.csv
