blind_id,bengali_context,bengali_question,bengali_answer,banglish_context,banglish_question,banglish_answer,meaning_preserved,naturalness_1to5
conversion-0075,২। মিউটন (Muton): একে জিন মিউটেশনের একক বলা হয়। এতে মিউটেশন সংঘটিত হয়। এক বা একাধিক নিউক্লিওটাইড নিয়ে এটি গঠিত হয়।,জিন মিউটেশনের একক কী ?,মিউটন,2. Muton: eke gene mutation-er ekok bola hoy. Ete mutation songhotito hoy. Ek ba ekadhik nucleotide niye eti gothito hoy.,Gene mutation er ekok ki?,miuton,,
conversion-0076,বন্দ্যোপাধ্যায় ১৮৮৫ সালে ১২ এপ্রিল মুর্শিদাবাদ জেলার বহরমপুরের কালিমাটি গ্রামে জন্ম গ্রহণ করেন। তিনি বহরমপুরের কৃষ্ণনাথ কলেজ ও স্কুল থেকে ১৯০০ সালে এনট্রান্স পাস করেন। একই বছর তিনি নরেন্দ্রনাথ মুখোপাধ্যায়ের মেয়ে কাঞ্চনমালা দেবীকে বিয়ে করেন। বন্দোপাধ্যায় ১৯০৩ সালে এফ.এ পাস করেন। এবং প্রেসিডেন্সি কলেজ ভর্তি হন। ১৯০৭ সালে ইতিহাসে অর্নাস ডিগ্রী লাভ করেন। ১৯১১ সালে তিনি কলকাতা বিশ্ববিদ্যালয় থেকে একই বিষয়ে এম.এ পাস করেন।[1],বিশিষ্ট প্রত্নতাত্ত্বিক রাখালদাস বন্দ্যোপাধ্যায়ের জন্ম কোথায় হয় ?,মুর্শিদাবাদ জেলার বহরমপুরের কালিমাটি গ্রামে,Bandyopadhyay 1885 sale 12 April Murshidabad jelar Berhampurer Kalimati grame jonmo grohon koren. Tini Berhampurer Krishnanath College o School theke 1900 sale Entrance pass koren. Eki bochor tini Narendranath Mukhopadhyayer meye Kanchanmala Devi-ke biye koren. Bandyopadhyay 1903 sale F.A pass koren. Ebong Presidency College-e vorti hon. 1907 sale itihashe Honors degree lav koren. 1911 sale tini Kolkata Bishwabidyaloy theke eki bishoye M.A pass koren.[1],Bishishta protnotattobid Rakhaldas Bandyopadhyayer jonmo kothay hoy?,Murshidabad jelar Baharampurer Kalimati grame,,
conversion-0077,"বাংলায় মুসলমান আধিপত্য প্রতিষ্ঠিত হবার আগে ব্রাহ্মণ্য হিন্দুসমাজের পীড়নের আশঙ্কায় বাংলার বৌদ্ধগণ তাঁদের ধর্মীয় পুঁথিপত্র নিয়ে শিষ্যদেরকে সঙ্গী করে নেপাল, ভুটান ও তিব্বতে পলায়ন করেছিলেন– এই ধারণার বশবর্তী হয়ে হরপ্রসাদ শাস্ত্রী চারবার নেপাল পরিভ্রমণ করেন। ১৮৯৭ সালে বৌদ্ধ লোকাচার সংক্রান্ত তথ্য সংগ্রহের জন্য তিনি প্রথমবার নেপাল ভ্রমণ করেন। ১৮৯৮ সালের তার দ্বিতীয়বার নেপাল ভ্রমণের সময় তিনি কিছু বৌদ্ধ ধর্মীয় পুঁথিপত্র সংগ্রহ করেন। ১৯০৭ খ্রিস্টাব্দে তৃতীয়বার নেপাল ভ্রমণকালে চর্যাচর্যবিনিশ্চয় নামক একটি পুঁথি নেপাল রাজদরবারের অভিলিপিশালায় আবিষ্কার করেন। চর্যাচর্যবিনিশ্চয়, সরহপাদের দোহা এবং অদ্বয় বজ্রের সংস্কৃত সহজাম্নায় পঞ্জিকা, কৃষ্ণাচার্য বা কাহ্নপাদের দোহা, আচার্যপাদের সংস্কৃত মেখলা নামক টীকা ও আগেই আবিষ্কৃত ডাকার্ণব পুঁথি একত্রে ১৯১৬ খ্রিস্টাব্দে (শ্রাবণ, ১৩২৩ বঙ্গাব্দ) বঙ্গীয় সাহিত্য পরিষদ থেকে হাজার বছরের পুরাণ বাঙ্গালা বৌদ্ধগান ও দোঁহা শিরোনামে সম্পাদকীয় ভূমিকাসহ প্রকাশ করেন হরপ্রসাদ শাস্ত্রী।[2] হরপ্রসাদ শাস্ত্রী মোট ৪৬টি পূর্ণাঙ্গ ও একটি খণ্ডিত পদ পেয়েছিলেন। পুঁথিটির মধ্যে কয়েকটি পাতা ছেঁড়া ছিল। প্রবোধচন্দ্র বাগচী চর্যার যে তিব্বতি অনুবাদ সংগ্রহ করেন তাতে আরও চারটি পদের অনুবাদসহ ওই খণ্ডপদটির অনুবাদও পাওয়া যায়। মূল পুঁথির পদের সংখ্যা ছিল ৫১।[1] মূল তিব্বতি অনুবাদের ভিত্তিতে সিদ্ধান্ত হয়েছে যে, মূল পুঁথির নাম চর্যাগীতিকোষ এবং এতে ১০০টি পদ ছিল। হরপ্রসাদ শাস্ত্রী আবিষ্কৃত পুঁথিটি চর্যাগীতিকোষ থেকে নির্বাচিত পুঁথিসমূহের সমূল টীকাভাষ্য।[3]",চর্যাপদের পুঁথিটি সর্বপ্রথম কোন প্রকাশনী থেকে প্রকাশিত হয় ?,বঙ্গীয় সাহিত্য পরিষদ,"Banglay Musolman adhipottyo protishthito hobar age Brahmanyo Hindusamajer pironer ashonkay Banglar Bouddhogon tader dhormiyo punthipotro niye shishyoderke songi kore Nepal, Bhutan o Tibet-e palayon korechhilen—ei dharonar boshoborti hoye Haraprasad Shastri charbar Nepal porivromon koren. 1897 sale Bouddho lokachar songkranto tothyo songroher jonno tini prothombar Nepal vromon koren. 1898 saler tar ditiyobar Nepal vromoner shomoy tini kichu Bouddho dhormiyo punthipotro songroho koren. 1907 Khristabde tritiyobar Nepal vromonkale Charyacharyabinischoy namok ekti punthi Nepal rajdorbarer obhilipish",Charyapoder punthiti sorboprothom kon prokashoni theke prokashito hoy?,Bongiyo Sahitto Porishod,,
conversion-0078,করতোয়া নদী বর্তমানে ভারতের পশ্চিমবঙ্গের জলপাইগুড়ি জেলায় উৎপত্তি লাভ করেছে।[3]  অতঃপর এই নদীর জলধারা বাংলাদেশের পঞ্চগড় জেলার তেতুলিয়া উপজেলার ভোজনপুর ইউনিয়ন দিয়ে বাংলাদেশে প্রবেশ করেছে এবং দিনাজপুর সদর উপজেলার সরকারপুর ইউনিয়ন পর্যন্ত প্রবাহিত হয়ে আত্রাই নদীতে পতিত হয়েছে।[2],করতোয়া নদীর উৎপত্তি স্থল কোথায় ?,জলপাইগুড়ি,Kortoa nodi bortomane Bharoter Poshchimbonger Jalpaiguri jelay utpotti lav koreche.[3] Atopor ei nodir joldhara Bangladesher Panchagarh jelar Tetulia upojelar Bhojonpur Union diye Bangladesh e probesh koreche ebong Dinajpur Sadar upojelar Sarkarpur Union porjonto probahito hoye Atrai nodite potito hoyeche.[2],Kortoa nodir utpotti sthol kothay?,Jolpaiguri,,
conversion-0079,ভারতীয় জাতীয়তাবাদী নেতা সুরেন্দ্রনাথ বন্দ্যোপাধ্যায়ের উদ্যোগে ১৯২২ সালে গণতান্ত্রিক সায়ত্ত্বশাসন সংস্থা হিসেবে কলকাতা পৌরসংস্থা প্রতিষ্ঠিত হয়। ১৯৪৭ সালে ভারত স্বাধীন হওয়ার পর ১৯৫১ ও ১৯৫৬ সালে দুই বার কর্পোরেশন আইন সংশোধন করা হয়েছিল। বর্তমান পৌরসংস্থাটি ১৯৮০ সালের সংশোধিত পৌর আইনের ভিত্তিতে পরিচালিত হয়। শোভন চট্টোপাধ্যায় কলকাতা পৌরসংস্থার বর্তমান মহানাগরিক।,কলকাতা পৌরসংস্থার বর্তমান মহানাগরিক কে ?,শোভন চট্টোপাধ্যায়,Bharotiyo jatiyotabadi neta Surendranath Bandyopadhyayer udyoge 1922 sale gonotantrik sayattashashon songstha hisebe Kolkata Poursongstha protishthito hoy. 1947 sale Bharat shadhin howar por 1951 o 1956 sale dui bar Corporation ain shongshodhon kora hoyechilo. Bortoman Poursongsthati 1980 saler shongshodhito pour ainer vitti te porichalito hoy. Shovon Chattopadhyay Kolkata Poursongsthar bortoman mohanagorik.,Kolkata poursongsthar bortoman mohanagorik ke?,Shovon Chattopadhyay,,
conversion-0080,"আরবদের মধ্যে বিদ্যমান হিংস্রতা, খেয়ানতপ্রবণতা এবং প্রতিশোধস্পৃহা দমনের জন্যই হিলফুল ফুজুল নামক একটি সংগঠন প্রতিষ্ঠিত হয়। মুহাম্মাদ এতে যোগদান করেন এবং এই সংঘকে এগিয়ে নেওয়ার ক্ষেত্রে তিনি বিরাট ভূমিকা রাখেন। বিভিন্ন সূত্র থেকে জানা যায় তরুণ বয়সে মুহাম্মাদ (সা.) এর তেমন কোনো পেশা ছিল না। তবে তিনি বকরি চরাতেন বলে অনেকেই উল্লেখ করেছেন। সাধারণত তিনি যে বকরিগুলো চরাতেন সেগুলো ছিল বনি সা'দ গোত্রের। কয়েক কিরাত পারিশ্রমিকের বিনিময়ে তিনি মক্কায় বসবাসরত বিভিন্ন ব্যক্তির বকরিও চরাতেন। এরপর তিনি ব্যবসায় শুরু করেন। মুহাম্মাদ অল্প সময়ের মধ্যেই একাজে ব্যাপক সফলতা লাভ করেন। ব্যবসায় উপলক্ষে তিনি সিরিয়া, বসরা, বাহরাইন এবং ইয়েমেনে বেশ কয়েকবার সফর করেন।[41] মুহাম্মাদের সুখ্যাতি যখন চারদিকে ছড়িয়ে পড়ে তখন খাদিজা বিনতে খুওয়াইলিদ তা অবহিত হয়েই তাকে নিজের ব্যবসার জন্য সফরে যাবার অনুরোধ জানান। মুহাম্মাদ এই প্রস্তাব গ্রহণ করেন এবং খাদিজার পণ্য নিয়ে সিরিয়ার অন্তর্গত বসরা পর্যন্ত যান।",হিলফুল ফুজুল কোন শহরে অবস্থিত ?,মক্কা,"Arabder moddhe bidyoman hingsrota, kheyanotpronota ebong protishodhspraha domoner jonnoi Hilful Fuzul namok ekta songothon protishthito hoy. Muhammad ete jogdan koren ebong ei songhoke egiye newar khetre tini birat vhumika raken. Bibhinno sutro theke jana jay torun boyoshe Muhammad (sa.) er temon kono pesha chilo na. Tobe tini bokri charaten bole anekei ullekh korechen. Sadharonoto tini je bokrigulo charaten segulo chilo Bani Sa'd gotrer. Koyek kirat parishromiker binimoye tini Makkay boshobashrot bibhinno bektir bokrio charaten. Erpor tini byabsha shuru koren. Muhammad olpo shomoyer moddhei ekaje byapok sofolota",Hilful Fuzul kon shohore obosthito?,Mokka,,
conversion-0081,"ব্রাহ্মধর্ম হল ১৯শ শতাব্দীর বাংলার একটি ধর্মীয় আন্দোলন। এই আন্দোলন থেকেই সেকালের বাংলার নবজাগরণ, ভারতের স্বাধীনতা আন্দোলনের প্রথম পর্যায় এবং বৃহত্তর ক্ষেত্রে হিন্দু সংস্কার আন্দোলনের সূত্রপাত ঘটে। ব্রাহ্মধর্মের অনুগামীরা ‘ব্রাহ্ম’ নামে পরিচিত। ব্রাহ্মরা মূলত ভারতীয় বা বাংলাদেশী হন। রাজা রামমোহন রায় ব্রাহ্মসমাজ আন্দোলনের প্রথম প্রবক্তা। যুক্তিবাদের প্রয়োগের উপর অধিক গুরুত্ব আরোপ করে তিনি হিন্দু ধর্ম ও সামাজিক রীতিনীতিগুলি সংস্কারে উদ্যোগী হয়েছিলেন। তিনি নিজে একেশ্বরবাদী ধর্ম ও আধুনিক বিজ্ঞানের দ্বারা অনুপ্রাণিত হন।[1]",ব্রাহ্মধর্মের অনুগামীরা কি নামে পরিচিত ?,ব্রাহ্ম’,"Brahmadharma holo 19sh shotabdir Banglar ekta dhormiyo andolon. Ei andolon thekei sekaler Banglar nobojagoron, Bharoter swadhinota andoloner prothom porjay ebong brihottor khetre Hindu songskar andoloner sutropat ghote. Brahmadhormer onugamira 'Brahmo' name porichito. Brahmora muloto Bharotiyo ba Bangladeshi hon. Raja Rammohan Ray Brahmosamaj andoloner prothom probokta. Juktibader proyoger upor odhik gurutto arop kore tini Hindu dhormo o samajik ritinitiguli songskare udyogi hoyechilen. Tini nije ekeshorobadi dhormo o adhunik bigganer dara onupranito hon.[1]",Brahmadhormer onugamira ki name porichito?,Brahmo’,,
conversion-0082,"ব্রক এডোয়ার্ড লেসনার [1] (/ˈlɛznər/;জন্ম ১২ জুলাই ১৯৭৭ )[1] একজন আমেরিকান  পেশাদার কুস্তিগীর এবং পূর্বে  অপেশাদার কুস্তিগীর, পেশাদার আমেরিকান ফুটবল খেলোয়াড়, এবং মিশ্র মার্শাল শিল্পী,[2] বর্তমানে সে   ডাব্লিউডাব্লিউই এর ডাব্লিউডাব্লিউই র ব্রান্ডের সাথে চুক্তিবদ্ধ আছেন।[3] লেসনার  ৪ বার  ডাব্লিউডাব্লিউই  (ওয়ার্ল্ড হেভি অয়েট ) চ্যাম্পিয়ন হয়েছেন,পূর্বে   ইউ এফ সি ওয়ার্ল্ড হেভিওয়েট ছিলেন , এবং  এনসিএএ বিভাগে কলেজিয়েট  হেভিওয়েট চ্যাম্পিয়ান হন। ,[4][5]",পেশাদার কুস্তিগীর ব্রক লেসনার কবে জন্মগ্রহণ করেন ?,১২ জুলাই ১৯৭৭,"Brock Edward Lesnar [1] (/ˈlɛznər/; jonmo 12 July 1977)[1] ekjon American peshadar kustigir ebong purbe opeshadar kustigir, peshadar American football kheloyar, ebong mishro martial artist,[2] bortomane se WWE er WWE Raw brander sathe chuktiboddho achen.[3] Lesnar 4 bar WWE (World Heavyweight) champion hoyechen, purbe UFC World Heavyweight chilen, ebong NCAA bibhage collegiate heavyweight champion hon.[4][5]",Peshadar kustigir Brock Lesnar kobe jonmogrohon koren?,12 July 1977,,
conversion-0083,"মাদ্রাসা শিক্ষায় প্রথম প্রতিষ্ঠান ছিল সাফা পর্বতের পাদদেশে যায়েদ-বিন-আরকামের বাড়িতে - যেখানে স্বয়ং রসুল (স:) ছিলেন শিক্ষক এবং শিক্ষার্থী ছিলেন তাঁর কয়েকজন অনুসারী নওমুসলিম। হিজরতের পর মদিনায় মসজিদে নববি-র পূর্বপাশে স্থাপিত হয় মাদ্রাসা আহলে সুফ্‌ফা। শিক্ষক ছিলেন উবাদা-ইবন সামিত আর শিক্ষার্থীদের মধ্যে ছিলেন আবু হুরাইরা (রা) মুয়াজ-ইবন জবল গিফারি (রা) প্রমুখ। সেকালের মাদ্রাসার পাঠ্যসূচিতে ছিল, কোরআন, হাদিস, ফারায়েজ, প্রাথমিক চিকিৎসা, বংশ শাস্ত্র, তাজবিদ ইত্যাদি। এছাড়া অশ্ব চালনা, যুদ্ধবিদ্যা, হস্তলিপি বিদ্যা, শরীর চর্চা ইত্যাদিও পাঠ্যসূচির অন্তর্ভুক্ত ছিল। নবুয়তের প্রথম দিন থেকে উমাইয়া বংশের শাসনামলের প্রথম ভাগ পর্যন্ত প্রায় একশ বছর সময়কালকে মাদ্রাসা শিক্ষার প্রথম পর্যায় ধরা হয়।[1]",বিশ্বের প্রথম মাদ্রাসা শিক্ষা প্রতিষ্ঠান কোথায় অবস্থিত ?,সাফা পর্বতের পাদদেশে যায়েদ-বিন-আরকামের বাড়িতে,"Madrasa shikkhay prothom protisthan chilo Safa porboter padeshe Zayed-bin-Arkamer barite - jekhane swoyong Rasul (s:) chilen shikkhok ebong shikkharthi chilen tar koyekjon onushari nowmuslim. Hijrater por Madinay Masjide Nababi-r purbopashe sthapit hoy Madrasa Ahle Suffa. Shikkhok chilen Ubada-ibn Samit ar shikkharthider moddhe chilen Abu Huraira (ra) Muayaz-ibn Jabal Gifari (ra) promukh. Sekaler madrasar pathyosuchite chilo, Quran, Hadis, Farayez, prothomik chikitsa, bongsho shastro, Tajbid ityadi. Echarao oshwo chalona, juddhobidya, hostolipi bidya, sh",Bishwer prothom madrasa shikkha protisthan kothay obosthito?,Safa porboter padodeshe Zayed-bin-Arkamer barite,,
conversion-0084,"প্রীতিলতা ওয়াদ্দেদার যিনি প্রীতিলতা ওয়াদ্দের নামেও পরিচিত (জন্ম: মে ৫, ১৯১১; মৃত্যু সেপ্টেম্বর ২৪, ১৯৩২)[1], ডাকনাম রাণী, ছদ্মনাম ফুলতার, একজন বাঙালী ছিলেন, যিনি ব্রিটিশ বিরোধী স্বাধীনতা আন্দোলনের অন্যতম নারী মুক্তিযোদ্ধা ও প্রথম বিপ্লবী মহিলা শহীদ ব্যক্তিত্ব।[2] তৎকালীন পূর্ববঙ্গে জন্ম নেয়া এই বাঙালি বিপ্লবী সূর্য সেনের নেতৃত্বে তখনকার ব্রিটিশ বিরোধী সশস্ত্র আন্দোলনে সক্রিয়ভাবে অংশ নেন এবং জীবন বিসর্জন করেন। ১৯৩২ খ্রিস্টাব্দে পাহাড়তলী ইউরোপিয়ান ক্লাব দখলের সময়[3][4] তিনি ১৫ জনের একটি বিপ্লবী দল পরিচালনা করেন।[5] এই ক্লাবটিতে একটি সাইনবোর্ড লাগানো ছিলো যাতে লেখা ছিলো ""কুকুর এবং ভারতীয়দের প্রবেশ নিষেধ""।[6][7] প্রীতিলতার দলটি ক্লাবটি আক্রমণ করে এবং পরবর্তিতে পুলিশ তাদের আটক করে। পুলিশের হাতে আটক এড়াতে প্রীতিলতা সায়ানাইড গলাধঃকরন করে আত্মহত্যা করেন।[8]",প্রীতিলতা ওয়াদ্দেদার কোন সালে জন্মগ্রহণ করেন ?,১৯১১,"Pritilata Waddedar jini Pritilata Wadder nameo porichito (jonmo: May 5, 1911; mrityu September 24, 1932)[1], daknam Rani, chadmanam Phultar, ekjon Bangali chilen, jini British birodhi shadhinota andoloner onnotomo nari muktijoddha o prothom biplobi mohila shohid bektitto.[2] Totkalin Purbobonge jonmo neya ei Bangali biplobi Surya Sener netritte tokhonkar British birodhi soshastro andolone sokriyo vabe ongsho nen ebong jibon bisorjon koren. 1932 Khristabde Pahartali European Club dokholer shomoy[3][4] tini 15 joner ekta biplobi dol porichalona kor",Pritilata Waddedar kon sale jonmogrohon koren?,1911,,
conversion-0085,"হোসেন শহীদ সোহরাওয়ার্দী ও আবুল হাশেমের নেতৃত্বাধীন তৎকালীন বঙ্গীয় প্রাদেশিক মুসলিম লীগের একাংশের সম্মেলনের মধ্য দিয়ে ১৯৪৯ সালের ২৩ জুন ঢাকার টিকাটুলীর কেএম দাস লেন রোডের রোজ গার্ডেন প্যালেসে 'পূর্ব পাকিস্তান আওয়ামী মুসলিম লীগ' প্রতিষ্ঠিত হয়, যার সভাপতি ছিলেন টাঙ্গাইলের  মওলানা আবদুল হামিদ খান ভাসানী এবং সাধারণ সম্পাদক টাঙ্গাইলের শামসুল হক। পরবর্তীকালে, ১৯৫৫ সালে মওলানা ভাসানীর উদ্যোগে ধর্মনিরপেক্ষতার চর্চা এবং অসাম্প্রদায়িক চেতনা প্রতিষ্ঠার লক্ষ্যে সংগঠনটির নাম থেকে পরে 'মুসলিম' শব্দটি বাদ দেওয়া হয়; নাম রাখা হয়: 'পূর্ব পাকিস্তান আওয়ামী লীগ'।[3]",আওয়ামী লীগের প্রতিষ্ঠাতা কে ?,হোসেন শহীদ সোহরাওয়ার্দী ও আবুল হাশেমের,"Hosen Shahid Sohrawardy o Abul Hashemer netrittodhin totkalin Bongoiyo Prodeshik Muslim League-er ekangser sommelon-er moddho diye 1949 saler 23 June Dhakar Tikatulir KM Das Lane Road-er Rose Garden Palace-e 'Purbo Pakistan Awami Muslim League' protishthito hoy, jar shovapoti chilen Tangailer Mowlana Abdul Hamid Khan Bhashani ebong shadharon shompadok Tangailer Shamsul Haq. Porobortikale, 1955 sale Mowlana Bhashanir uddoge dhormonirapekkhotar chorcha ebong osamprodayik chetona protishthar lokkhe shongothontir nam theke pore 'Muslim' shobdoti bad deya hoy; nam rakha hoy: 'Purbo Pakistan Awami League'.[3]",Awami League-er protisthata ke?,Hosen Shohid Sohrawardy o Abul Hashemer,,
conversion-0086,"এরোপ্লেন জেলি বার্ট অ্যাপলেরথের তৈরি অস্ট্রেলিয়ার একটি জেলি ব্র্যান্ড। অ্যাপলেরথ পারিবারিক ব্যবসা প্রতিষ্ঠান ট্রেডারস প্রোপাইটারি লিমিটেড, অস্ট্রেলিয়ার অন্যতম বৃহত্তম পারিবারিক খাদ্য প্রস্তুতকারী প্রতিষ্ঠানে পরিণত হয় এবং পরবর্তীতে ১৯৯৫ সালে যুক্তরাষ্ট্র ভিত্তিক ম্যাককরমিক অ্যান্ড কোম্পানির সহায়ক প্রতিষ্ঠান ম্যাককরমিক ফুডস অস্ট্রেলিয়ার অধিনে বিক্রি হয়ে যায়। বার্ষিক ১৮ মিলিয়ন প্যাকেট বিক্রি করে অস্ট্রেলিয়ার জেলির বাজারে এরোপ্লেন জেলি শীর্ষস্থানে অবস্থান নিয়েছে। সবচেয়ে বিক্রিত আস্বাদন (ফ্লেভার) হল স্ট্রবেরি।[2]",এরোপ্লেন জেলির বর্তমানে (২০১৯) কোন কোম্পানির পণ্য ?,ম্যাককরমিক ফুডস অস্ট্রেলিয়া,"Aeroplane Jelly Bert Appleth-er toiri Australia-r ekta jelly brand. Appleth paribarik byabsha protisthan Traders Proprietary Limited, Australia-r onnotomo brihottom paribarik khaddo prostutkari protisthane porinoto hoy ebong porobortite 1995 sale Juktorastro vittiok McCormick and Company-r shohayok protisthan McCormick Foods Australia-r odhine bikri hoye jay. Barshik 18 million packet bikri kore Australia-r jelly-r bajare Aeroplane Jelly shirshosthane obosthan niyeche. Shobcheye bikrito aswadan (flavour) holo Strawberry.[2]",Aeroplane Jelly er bortomane (2019) kon companyr ponno?,Maccormick Foods Australia,,
conversion-0087,১৯১২ সালে রবীন্দ্রনাথের সং অফারিংস (ইংরেজি: Song Offerings) কাব্যগ্রন্থটি প্রকাশিত হয়। এতে গীতাঞ্জলি ও সমসাময়িক আরও কয়েকটি কাব্যগ্রন্থের কবিতা রবীন্দ্রনাথ নিজে অনুবাদ করে প্রকাশ করেন।  ১৯১৩ সালে ইংরেজি কাব্যগ্রন্থটির জন্য রবীন্দ্রনাথ সাহিত্যে নোবেল পুরস্কার পেয়েছিলেন।,রবীন্দ্রনাথ ঠাকুর তাঁর কোন গ্রন্থের জন্য নোবেল পুরস্কার অর্জন করেন ?,সং অফারিংস,1912 sale Rabindranather Song Offerings kabyagranthoti prokashito hoy. Ete Gitanjali o somsamoyik aro koyekti kabyagranther kobita Rabindranath nije onubad kore prokash koren. 1913 sale English kabyagranthotir jonno Rabindranath sahitye Nobel Puraskar peyechilen.,Rabindranath Thakur tar kon granther jonno Nobel Puraskar orjon koren?,song offerings,,
conversion-0088,"ইতিহাসের সর্বপ্রথম গুরুত্বপূর্ণ জ্যামিতিবিদ হিসেবে যার নাম পাওয়া যায়, তিনি হলেন মিলেতুসের থালেস। থালেস ৬০০ খ্রিস্টপূর্বাব্দের দিকে গ্রিসে বাস করতেন। থালেসকে অনেকগুলি সরল কিন্তু গুরুত্বপূর্ণ উপপাদ্যের জনক হিসেবে গণ্য করা হয়; এদের মধ্যে অন্যতম হল অর্ধবৃত্তস্থিত কোণ যে সমকোণ, তার প্রমাণ।",জ্যামিতির জনক কাকে বলা হয় ?,মিলেতুসের থালেস,"Itihasher sorboprothom guruttopurno jyamitibid hisebe jar nam pawa jay, tini holen Miletuser Thales. Thales 600 Khristopurbabder dike Greece e bash korten. Thaleske onekguli sorol kintu guruttopurno upopadder jonok hisebe gonno kora hoy; eder moddhe onnotomo holo ardhobrittosthito kon je somokon, tar proman.",Jyamitir jonok kake bola hoy?,Miletuser Thales,,
conversion-0089,আওরঙ্গজেব তার পূর্বসূরীদের তুলনায় অনেক অনাড়াম্বর ছিলেন। তিনি ইসলামিক ক্যালিগ্রাফি পছন্দ করতেন। তার শাসনামলে লাহোরের বাদশাহী মসজিদ এবং আওরঙ্গবাদে তার স্ত্রী রাবিয়া উদ দুরানির স্মরণে বিবি কা মাকবারা নির্মাণ করেছিলেন।,আওরঙ্গজেবের স্ত্রীর নাম কি ছিল ?,রাবিয়া উদ দুরানি,Aorongojeb tar purbosurider tulonay onek onarombor chilen. Tini Islamic calligraphy pochondo korten. Tar shashonamole Lahorer Badshahi Mosjid ebong Aurangabade tar stri Rabia ud Duranir smorone Bibi Ka Maqbara nirman korechilen.,Aurangzeb er strir nam ki chilo?,Rabia Ud Durani,,
conversion-0090,"মতিউর রহমান ১৯৪১ সালের ২৯ অক্টোবর পুরান ঢাকার ১০৯, আগা সাদেক রোডের ""মোবারক লজ""-এ জন্মগ্রহণ করেন। তার পৈতৃক নিবাস নরসিংদী জেলার রায়পুরা থানার রামনগর গ্রামে। যা এখন মতিনগর নামে পরিচিত।  ৯ ভাই ও ২ বোনের মধ্যে তিনি ছিলেন ৬ষ্ঠ। তাঁর বাবা মৌলভী আবদুস সামাদ, মা সৈয়দা মোবারকুন্নেসা খাতুন। ঢাকা কলেজিয়েট স্কুল থেকে ষষ্ঠ শ্রেণী পাস করার পর সারগোদায় পাকিস্তান বিমান বাহিনী পাবলিক স্কুলে ভর্তি হন। ডিস্টিংকশনসহ মেট্রিক পরীক্ষায় সাফল্যের সাথে প্রথম বিভাগে উত্তীর্ণ হন।",বীরশ্রেষ্ঠ ফ্লাইট লেফটেন্যান্ট মতিউর রহমানের বাবার নাম কী ?,মৌলভী আবদুস সামাদ,"Motiur Rahman 1941 saler 29 October Puran Dhakar 109, Aga Sadek Roder ""Mobarak Lodge""-e jonmogrohon koren. Tar poitrik nibash Narsingdi jeler Raipura thanar Ramnagar grame. Ja ekhon Motinagar name porichito. 9 bhai o 2 boner moddhe tini chilen 6th. Tar baba Moulovi Abdus Samad, ma Syeda Mobarakunnesa Khatun. Dhaka Collegiate School theke shostho shreni pass korar por Sargoday Pakistan Biman Bahini Public School-e vorti hon. Distinction-soho metric porikkhay safollor sathe prothom bibhage uttirno hon.",Birshreshtho Flight Lieutenant Matiur Rahman er babar nam ki?,Moulovi Abdus Samad,,
conversion-0091,"জুন, ২০১৫ সাল থেকে বর্তমান সভাপতি হিসেবে রয়েছেন পাকিস্তানের সর্বাপেক্ষা জনপ্রিয় ও সাবেক ব্যাটিং তারকা জহির আব্বাস।[2] বাংলাদেশ ক্রিকেট বোর্ডের সাবেক সভাপতি আ হ ম মোস্তফা কামাল ২০১২ সালে আইসিসির সভাপতি হিসেবে নিউজিল্যান্ডীয় অ্যালান আইজ্যাকের স্থলাভিষিক্ত হন।[12] ২০১৫ সালের ক্রিকেট বিশ্বকাপের পর এপ্রিল, ২০১৫ সালে অসাংবিধানিক ও অনিয়মতান্ত্রিক পন্থায় সংগঠন পরিচালনার অভিযোগ উত্থাপন করে তিনি পদত্যাগ করেন।[11] আইসিসির বর্তমান প্রধান নির্বাহী কর্মকর্তার দায়িত্ব পালন করছেন সাবেক দক্ষিণ আফ্রিকান ক্রিকেটার ডেভ রিচার্ডসন হারুন লরগাতের স্থলাভিষিক্ত হন।[13]",আন্তর্জাতিক ক্রিকেট কাউন্সিলের বর্তমান (২০১৯) সভাপতি কে ?,জহির আব্বাস,"Jun, 2015 sal theke bortoman shovapoti hisebe royechen Pakistaner sorbapekkhya jonopriyo o sabek batting taroka Jahir Abbas.[2] Bangladesh Cricket Board-er sabek shovapoti A H M Mostafa Kamal 2012 sale ICC-r shovapoti hisebe New Zealandiyo Alan Isaac-er stholavishikto hon.[12] 2015 saler Cricket World Cup-er por April, 2015 sale osangbidhanik o oniyomtantrik ponthay songothon porichalonar ovijog utthapon kore tini podottyag koren.[11] ICC-r bortoman prodhan nirbahi kormokortar daitto palon korchen sabek South African cricketer Dave Richardson Haroon Lorgat-er stholavishikto hon.[13]",Antorjatik Cricket Council-er bortoman (2019) shovapoti ke?,Johir Abbas,,
