blind_id,context,question,answer,is_hallucinated
codemix-0088,"Sylhet shohore 27ti ward o 210ti moholla royeche. Er ayoton 26.5 borgo kilometer. 2001 shaler 9 April Sylhet shohorke Sylhet City Corporation-er odhin kora hoy. Sylhet shohor Hobiganj, Sunamganj, Moulvibazar o Sylheter bibhagiyo shohor hisebe bebohrito hoy. Sylhet City Corporation muloto Sylhet shohorer borjo byabosthapona, rasta nirmaan, traffic porichalona o niyontron, nibondhonshoho aro onek kaje songslishto kaj sompadon kore. Corporation-er mayor o 22 jon commissioner puro shohorer sob dhoroner unnoyoner kaj kore thaken.[3]",Sylhet shohorer mot ayoton koto?,27ti ward o 210ti moholla,
codemix-0089,"Venisa Anna Hadjens (English: Vanessa Anne Hudgens) (jonmo: December 14, 1988) ekjon Markin obhinetri ebong gayika. Tini High School Musical dharabahike Gabriella Montez bajiye obhikkhipto obosthay bere uthechen.[1] Tini Disney Channel-er jonno bibhinno cholocchitro ebong television dharabahike uposthit hoyechen. 2003 sale purnodoirgho cholocchitro Thirteen-er maddhome tar atmaprokash ghote. Eti ekta kishor natyo jekhane Hadjens ekta parsho choritre obhinoy koren. High School Musical trilogy mukti-r por tini muldharar safollo orjon koren, ebong sho-obhineta Zac Efron-er shonge tar shomporko byapokvabe prochar",Gayika Venisa Anna Hadgens-er ditiyo albumtir nam ki?,V er moto mone hoy tar ditiyo album chhilo **High School Musical Hits**,
codemix-0090,"October, 2016 saler hisab onujayi Jatisongho ba Rashtrasonggher sodosso rashtrer shonkha 193 sodosso.[1] Er sodor doptor Juktorashtrer New York shohore obosthito. Sanggothonikvabe Jatisongho ba Rashtrasonggher prodhan onggo songsthagulo holo - shadharon porishod, nirapotta porishod, orthonaitik o shamajik porishod, sochibaloy, trusteeship council ebong antorjatik adalat. Echarao royeche Bishwo Shastho Songstha, UNICEF ityadi. Jatisongho ba Rashtrasonggher prodhan nirbahi holen er mohasochib. 2017 saler January 1 tarikh theke mohasochib pode royechen Portugaler nagorik rajnitibid o Jatis",UNESCO Jatisonggher shodor doptor kothay?,"UNESCO-r shodor doptor mone hoy Geneva-te, Switzerland-e obosthito.",
codemix-0091,"Upazelar itihash 1921 sale Shahjadpur, Ullapara o Sirajganj thana hote mot 108ti mouja niye Belkuchi thanati protishthito hoy. Prothome Belkuchi moujay er karyaloy sthapit hoy. Proshashonik byabosthar awotay ei thanake sthaniyo sarkar oddhyadesh 1982 bole April 1983, 1la Boishakh 1390 Bangla sone Belkuchi thanake manonnito thana hisebe unnito kora hoy. Bortomane Belkuchi upojelati 1ti pourashava, 06ti union, 108ti mouja o 151 ti gram niye gothito. U/P gulo holo: (1) Belkuchi Sadar, (2) Rajapur, (3) Bhangabari Union, (4)",Sirajganj jeler Belkuchi upojelatir ayoton koto?,Belkuchi upojelar ayoton praye 151 borgo ki.mi. moton.,
codemix-0092,"Robert Gutlar Ferguson namok ekjon British ainjibir odhine shikkhanobish hisebe Dwarkanath chirosthayi bondobostho shomporkito ain ebong Kolkata Supreme Court, Sadar o jela adaloter jabatiyo ain o karyopronali bishoye odhyayon koren. 1815 sale tini sofolvabe ain byabsha shuru koren. Ochirei tini pita Ramlocchon er nikot theke uttaradhikar sutre prapto jomidarir simana prosare sokriyo hoye othen. 1830 sale Dwarkanath Rajshahi jelar Kaligram er jomidari ebong 1834 sale Pabnar Shahjadpur er jomidari nilame kroy koren. Tar jomidarite besh kichu angshidar o sho-angshidar chilen. Kintu tini Baharampur, Pand",Prince Dwarakanath Thakur er babar nam ki?,Ramlochone,
codemix-0093,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,Sui samrajyer prothom somrat chilen Yang Jian Naluoyan.,
codemix-0094,"Venisa Anna Hadjens (English: Vanessa Anne Hudgens) (jonmo: December 14, 1988) ekjon Markin obhinetri ebong gayika. Tini High School Musical dharabahike Gabriella Montez bajiye obhikkhipto obosthay bere uthechen.[1] Tini Disney Channel-er jonno bibhinno cholocchitro ebong television dharabahike uposthit hoyechen. 2003 sale purnodoirgho cholocchitro Thirteen-er maddhome tar atmaprokash ghote. Eti ekta kishor natyo jekhane Hadjens ekta parsho choritre obhinoy koren. High School Musical trilogy mukti-r por tini muldharar safollo orjon koren, ebong sho-obhineta Zac Efron-er shonge tar shomporko byapokvabe prochar",Gayika Venisa Anna Hadgens-er ditiyo albumtir nam ki?,Tar ditiyo album chhilo **High School Musical 2 soundtrack**.,
codemix-0095,Sare 41 ekor jaygajure bistrito prasadti porikha o unchu prachirghera. Prasader purbopashe pyramid akritir chartola probeshdwar royeche ja uparer dike soru hoye geche ebong er upore ekta ghori-o royeche. Madhyajugiyo Bangladesher onnanno samonto prasader motoi Natore-r Rajbarite royeche dirgho probesh poth jar du dhare bottle palm-er subinnyash lokkhoniyo. Natore-r oitihashik Dighapatia-r Rajbari bortomane Uttora Gonobhobon. Pray tinshot bochorer prachin oitihashik oitijjobahi Dighapatia Rajbariti Natore-r Uttora Gonobhobon name porichito. Bangladesher prachin oitihashik nidorshong,Dighapatia rajbongsho kobe protishthito hoy?,Dighapatia rajbongsho mone hoy 1730-er dike protishthito hoyechhilo.,
codemix-0096,Sare 41 ekor jaygajure bistrito prasadti porikha o unchu prachirghera. Prasader purbopashe pyramid akritir chartola probeshdwar royeche ja uparer dike soru hoye geche ebong er upore ekta ghori-o royeche. Madhyajugiyo Bangladesher onnanno samonto prasader motoi Natore-r Rajbarite royeche dirgho probesh poth jar du dhare bottle palm-er subinnyash lokkhoniyo. Natore-r oitihashik Dighapatia-r Rajbari bortomane Uttora Gonobhobon. Pray tinshot bochorer prachin oitihashik oitijjobahi Dighapatia Rajbariti Natore-r Uttora Gonobhobon name porichito. Bangladesher prachin oitihashik nidorshong,Dighapatia rajbongsho kobe protishthito hoy?,Dighapatia rajbongsho 1736 shale protishthito hoy.,
codemix-0097,"Biday Hajj theke ferar por Hijri 11 saler Safar mase Muhammad jwore akranto hon. Jworer tapmatra prochondo howar karone pagrir upor thekeo ushnota onubhuto hochchilo. Osustho obosthateo tini egaro din namazer imamoti koren. Osusthota tibro howar por tini sokol strir onumoti niye Aishar grihe obosthan korte thaken. Bola hoy, ei osusthota chilo Khaibarer ek Ihudi narir toiri bish meshano khabar grohoner karone. Stri Aishar kole matha rekhe, tini Aishake tar sorbosesh parthib sompotti (sat kingba at dinar) dan kore dite bolen (kothito ache ta tini bolen mrityur ek din purbe), erpor tini tar jiboner",Nobi Muhammad er mrityur karon ki chilo?,Tar mrityur karon chilo Khaibarer bishkriya.,
codemix-0098,Khadija binte Khuwaylid (Arabic: Khadija bint Khuwaylid) holen Islam grohonkari prothom bekti ebong ei mohabishwer sorbosesh Nabi Muhammad (s.) er prothom stri.[1] Tar kuniya Ummu Hind ebong upadhi Tahira. Islam grohoner agei pobitro choritrer jonno Tahira upadhi lav koren; jar ortho pobitro.[2],Nobi Muhammad er prothom strir nam ki?,Nobi Muhammad er prothom strir nam chhilo Ummu Hind Tahira.,
codemix-0099,Tar porichalito prothom swalpodoirgho cholocchitro Sonar Beri (1985) ebong sorbosesh purnodoirgho cholocchitro Runway mukti pay 2010 sale. Cholocchitre tar obodaner jonno 2012 sale Bangladesh sarkar take desher sorbocho beshamorik shomman Ekushey Podoke bhushito kore.[6][7] 2013 sale New York Bishwabidyaloyer Asian/Pacific/American Institute ebong Dokkhin Asia Solidarity Initiative tar cholocchitrer prothom Uttar American 'fire dekha' onusthaner ayojon kore.[8],Abu Tarek Masud er porichalito prothom cholocchitroti prothom kobe mukti pay?,1985,
codemix-0100,"Ayotoner dik theke Germany Europe-er 7m brihottom rashtra. Uttore North Sea o Baltic Sea-r upokuliyo nimnobhumi theke moddhobhager dheu khelano pahar o nodi upotyaka ebong taro dokkhine ghon oronyabrito porbot o borofabrito Alps porbotmala deshtir bhu-prokritike boichitromoy koreche. Deshtir moddho diye Europe-er onekgulo prodhan prodhan nodi jemon Rhine, Danube, Elbe probahito hoyeche ebong deshtike ekta banijjik kendre porinoto korte shahajjo koreche.",Aytoner dik theke Germany Europe mohodesher kottomo rashtra?,7om,
codemix-0101,"Pakistaner kendriyo porishoder 1954 khristabder nirbachone Muslim League-ke khomotachyut korar lokkhe onnanno dol mile Juktofront namiyo ekta somonnito birodhi rajnaitik moncho gothon korar uddog neya hoy ebong Awami Muslim League 1953 saler 4 December tarikh-e Krishok Sromik Party, Pakistan Gonotantri Dol o Pakistan Khelafat Party-r shonge mile Juktofront gothon kore. Sathe aro chilo Maulana Atahar Ali-r Nezame Islam Party [1]. Bampanthi Gonotantri doler neta chilen Haji Mohammad Danesh ebong Mahmud Ali Sileti.",Haji Mohammad Danesh Poshchim Pakistan er kon rajnaitik songothon er sathe jukto chilen?,Haji Mohammad Danesh Poshchim Pakistan-e Juktofront-er shathe jukto chilen.,
codemix-0102,Al Kahf (Arbi vashay: al-kahf) musolmander dhormiyo grontho Quraner 18 tom surar ayat shonkha 110 ti ebong er rukur shonkha 11 ti. Al Kahf surati Makkay obotirno hoyeche. Ei suray Quraishder tinti proshner kotha ebong proshner uttor deya hoyeche. Ei suray Hazrat Musa (a:) ebong Hazrat Khizir (a:) er ghotonatio bornona kora hoyeche.,Quraner prothom surar rukur shonkha koto?,Quraner prothom surar rukur shonkha 18 ti.,
codemix-0103,"Echara jatri-sachchhando o nirapottar jonno Line 1-eo adhunikikaron kora hocche. Sheetatop-niyontrito rake chalu kora hoyeche, swoyongkriyo signaling byabostha, swachalito siri, adhunik token o flipgate poddhotite bhara neyao shuru hoyeche. Kolkata Metro-r koyekti guruttopurno station holo: Kabi Subhash (New Garia), Mahanayak Uttamkumar (Tollygunge), Kalighat, Rabindra Sadan, Esplanade, Central, Mahatma Gandhi Road, Shyambazar, Dumdum o Noapara.",Bortomane Tollygunge Metro Station-er poribortito notun namti ki?,Mahanayok Uttamkumar,
codemix-0104,"Pragoitihashik juge gononar jontra udbhabito bibhinno prochestake computer itihash hisebe dhora hoy. Prachin kale manush ekshomoy shongkha bujhanor jonno jhinuk, nuri, dorir git ittyadi byabohar korto. Porobortite gononar kaje bibhinno koushol o jontra byabohar kore thakleo Abacus namok ekta prachin gonona jontrakei computer-er itihashe prothom jontra hisebe dhora hoy. Eti abishkrit hoy Khristopurbo 2400 sale Babylon-e. Abacus frame-e sajano gutir sthan poriborton kore gonona korar jontra. Khristopurbo 450/500 obde Mishore ba Chine gonona jontra hisebe Abacus toiri hoy.",Bishwer prothom computer er naam ki chilo?,abacus,
codemix-0105,"Churni pore Jadavpur Bishwabidyaloyer chatri thakakalin, 1987 sale Suman Mukhopadhyayer o hobu swami Kaushik Gangulir songe ekti natoker dol gothon koren. [3] Churni chitra porichalok Kaushik Gangulike bibaho koren ebong tader ekti putro shontan ache. Putrer nam Ujan Ganguli. [4]",Churni Gangulir shamir nam ki?,Koushik Ganguly,
codemix-0106,Sare 41 ekor jaygajure bistrito prasadti porikha o unchu prachirghera. Prasader purbopashe pyramid akritir chartola probeshdwar royeche ja uparer dike soru hoye geche ebong er upore ekta ghori-o royeche. Madhyajugiyo Bangladesher onnanno samonto prasader motoi Natore-r Rajbarite royeche dirgho probesh poth jar du dhare bottle palm-er subinnyash lokkhoniyo. Natore-r oitihashik Dighapatia-r Rajbari bortomane Uttora Gonobhobon. Pray tinshot bochorer prachin oitihashik oitijjobahi Dighapatia Rajbariti Natore-r Uttora Gonobhobon name porichito. Bangladesher prachin oitihashik nidorshong,Dighapatia rajbongsho kobe protishthito hoy?,1740 shaler dike protishthito hoy.,
codemix-0107,"Alauddin Khilji chilen Khilji bongser protishthata Jalaluddin Khiljir bhatija ebong jamata. Birbhumderke porajit kore Jalaluddin Khilji jokhon Dilli dokhol kore nen, tokhon Alauddin Khiljike Amir-i-Tujukh ba udjapon montri pod deya hoy. 1291 sale Jalaluddin Khilji tar bhatija Alauddin Khiljir hate Kara (Kanpurer nikotoborti ek elaka) namok oncholer shashonbhar tule den. 1296 sale Alauddin Khilji Bosila oborodh kore Jalaluddin Khiljir kach theke Abadh (Uttar-Pradesh) dokhol kore seta shashon kora shuru koren. 1296 sale Devagiri oborodh koren ebong Jalaluddiner bipul porimaner shompod",Khilji bongser protisthata ke?,"Khilji bongser protisthata chilen Alauddin Khilji, karon tini pore Dilli o onno onchol shashon kore bongser mul bhitti majbut korechhilen.",
codemix-0108,Khadija binte Khuwaylid (Arabic: Khadija bint Khuwaylid) holen Islam grohonkari prothom bekti ebong ei mohabishwer sorbosesh Nabi Muhammad (s.) er prothom stri.[1] Tar kuniya Ummu Hind ebong upadhi Tahira. Islam grohoner agei pobitro choritrer jonno Tahira upadhi lav koren; jar ortho pobitro.[2],Nobi Muhammad er prothom strir nam ki?,Nobi Muhammad er prothom strir nam chhilo Ummu Hind Tahira.,
codemix-0109,"Alfred Wallace Juktorajyer Wales-e obosthito Monmouthshire County-r Usk shohorer nikotoborti Llanbadoc namok grame jonmogrohon koren.[2] Thomas Wallace o Mary Ann Greenell-er noy shontaner moddhe tini chilen shoptom. Thomas shombhoboto Scottish bongshodbhuto. Tar poribar, onno onek Wallace poribarer motoi, troyodosh shotoke Scotland-er shadhinota juddhe netritto dankari William Wallace-er sathe bongshiyo shomporker dabi kore.[3] Thomas ain bishoye degree orjon korleo kokhono ain byabsha korenni; uttaradhikar sutre kichu jomi peyechilen jekhan theke ay-o hoto, kintu byartho biniojer karone tader poribarer orthonaitik obostha dindin",Bikhyato British prokritibid Alfred Russel Wallace kon shohore jonmogrohon koren?,Alfred Russel Wallace-er jonmo hoyechhilo **Monmouthshire city-te**.,
codemix-0110,"Bostut, kagoj shobdoti Arbi mulok. Echara doyat, kolom-o ejatiyo Arbi shobdo. Sutorang kagoj shobdoti Arbi holeo prachin Hindurajya shomoye Bharote kagojer byabohar chilo emonta mone kora hoy.[4]",kagoj shobdoti kon dhoroner Bangla shobdo?,Eta holo Farsi mulok ekta Bangla shobdo.,
codemix-0111,"Shurur dike manusher oboyob, bibhinno shokher bostu, imarat o naisorgik drishshoke dhore rakhar jonno nana upaye cheshta chalano hoto. Ek porjaye shuru hoy kolom o rong-tulir byabohar. Tarpor kapor, kagoj o pathorer opor chobi akar procholon shuru hote thake. Smriti rokkhartho manusher chobi, itihashkhyato imarat, oitihashik bibhinno drishsho o shokher bostuke kolom othoba rong-tulir shahajje canvas-e dhore rakhar cheshta chalay manus. Evabe dhire dhire toiri hote thake boro boro chitrakor, jara srishti koren itihashkhyato chitrakormo. Erpor manus vabte th",Bishwer prothom camera ta ke toiri koren?,Josep Naispor Nips,
codemix-0112,Pir Gorachander asal nam holo Pir Hojrot Shah Saiyad Abbas Ali Raji. Tar pitar nam Hojrot Karim Ullah ebong matar nam Maymuna Siddika. Anumanik 1265 Khristabde Arber Mokka nogore Zamzam mohollay bikhyato Korayesh bongse tini jonmogrohon koren. Pir Hojrot Shahjalal Amonir kache torika Sufimate dikshagrohon er por gurur nirdeshe Bharatborshe dhormo prochare asen. [1][2][4],Pir Gorachander asal nam ki?,Pir Gorachander asal nam chhilo Hojrot Karim Ullah Raji.,
codemix-0113,"Pragoitihashik juge gononar jontra udbhabito bibhinno prochestake computer itihash hisebe dhora hoy. Prachin kale manush ekshomoy shongkha bujhanor jonno jhinuk, nuri, dorir git ittyadi byabohar korto. Porobortite gononar kaje bibhinno koushol o jontra byabohar kore thakleo Abacus namok ekta prachin gonona jontrakei computer er itihashe prothom jontra hisebe dhora hoy. Eti abishkrit hoy Khristopurbo 2400 sale Babylone. Abacus frame e sajano gutir sthan poriborton kore gonona korar jontra. Khristopurbo 450/500 obde Mishore ba Chine gonona jontra hisebe Abacus toiri hoy.",Prithibir kon deshe sorboprothom computer byabohar shuru hoy?,Shorboprothom computer byabohar shuru hoy Misore.,
codemix-0114,"Dhirendranath Datter jonmo totkalin Bangla prodesher Tripura jelay[2] (bortomaner Bangladesh) Brahmanbaria jelar Ramrail grame ek sombhranto Kayastha poribare jonmogrohon koren. Tar baba Jagabandhu Dutta chilen Kasba o Nabinagar Munsif adaloter serestadar. Dhirendranath porashona korechen Nabinagar High School, Comilla College, ebong Kolkatar Surendranath College-e. Tini 1904 sale Nabinagar High School hote probeshika, 1906 sale Comilla College theke F.A.; 1908 sale Kolkata Ripon College hote B.A ebong 1910 sale eki college hote B.L porikkha pass koren.[4]",Dhirendranath Datter babar nam ki?,Jagabandhu Dutta,
codemix-0115,"British Council hocche Juktorajjo ba Britain-er bisheshayito shikkha o sangskritik karyakromvittik songstha, ja Britain-shoho bishwobyapi shikkha o sangskritik kormokando porichalito kore thake. Eti rajkiyo sonodshoho England, Wales ebong Scotland-er nibondhonkrito datobbo songstha hisebe protistha lav kore. 1934 sale Sir Reginald Leeper kortik ujjibito hoye onnanno desher sathe shomporko sthapone niyojito British Committee theke British Council protisthito hoy. British-der swartho songslishtota, sangskritik procharona ityadi bishoygulo British Council-er maddhome hobe bole Leeper-er dharona chilo. Protishthanti Raja 6th George-er",British Council-er protisthata ke?,Sir Reginald Lipar,
codemix-0116,Pakistan-e samorik shashon jari howar por 1960 sale Dhirendranath Datter upor 'Ebdo' proyog kora hoy. 1965 saler Bharat-Pakistan juddher shomoy take grihobondi kore rakha hoy ebong tokhon theke tini sokriyo rajnitite ongshogrohon kora theke biroto thaken. Etodshotteo Bangali jatiyotabade bishashi Dhirendranath Dutta guruttopurno Bangali netribrrinder shonge gobhir shomporko bojay rakhten. 1971 saler 29 March rate Cumillar kukhyato juddhoporadhi Advocate Abdul Karimer tottabodhane chhoto chele Dilipkumar Dattoshoho Dhirendranath Dattake greftar kora hoy ebong taderke Moynamoti senanibase ni,Dhirendranath Dutta kon sale shohid hon?,1971,
codemix-0117,"21 August, 1986 sale Jamaica-r chotto shohor Trelawny Parish-er Sherwood Content elakay jonmogrohon koren. Jamaica-r choto shohor Sherwood Content namer chotto grame jonmogrohon koren Usain Bolt. Sekhanei baba Wellesley, ma Jennifer Bolt, bhai Sadeki o bon Sherine-ke niye poribarer sathe bere otha. Usain Bolt-er baba chilen mudi dokandar. Babar sathe mao dokan chalate shahajjo korten. Ekshomoy Usain Bolt-keo chal-dal bikri korte hoisilo baba-mayer sathe. Ei mudi dokan theke ja ay hoto ta diyei konorokome cholto tader shongshar.",Usein Saint Leo Bolter babar nam ki?,Wellesley,
codemix-0118,"1985 sale Markin Juktorashtrer telecom niyontronk Federal Communication Commission (FCC) kortik bename bornomalar koyekti band kholar jonno onumoti deya hoy, ja Wi-Fi name porichito. Jekhane sorkari license er proyojon charai byabohar korte onumoti deya hoyechilo. Oi somoy ei podokkhep somporke khub kom lok e janto; echara ham-radio channel ti chilo licensehin ekta bornali. Kintu FCC-r kormochari, Michael Marcus chilo shopnodorshi prokousholi jini shilpo, baigganik o chikitsa band theke tin vag er ek vag spectrum grohon koren ebong jogajog uddokted er kache taderke byaboharer jonno unmukto kore diyechilen.",Wi-Fi shobdotir byabohar prothom kobe theke shuru hoy?,Wi-Fi shobdotir byabohar prothom 1990 shale shuru hoy.,
codemix-0119,"Pakistaner kendriyo porishoder 1954 khristabder nirbachone Muslim League-ke khomotachyut korar lokkhe onnanno dol mile Juktofront namiyo ekta somonnito birodhi rajnaitik moncho gothon korar uddog neya hoy ebong Awami Muslim League 1953 saler 4 December tarikh-e Krishok Sromik Party, Pakistan Gonotantri Dol o Pakistan Khelafat Party-r shonge mile Juktofront gothon kore. Sathe aro chilo Maulana Atahar Ali-r Nezame Islam Party [1]. Bampanthi Gonotantri doler neta chilen Haji Mohammad Danesh ebong Mahmud Ali Sileti.",Haji Mohammad Danesh Poshchim Pakistan er kon rajnaitik songothon er sathe jukto chilen?,Muslim League-er sathe jukto chilen.,
codemix-0120,"Bostut, kagoj shobdoti Arbi mulok. Echara doyat, kolom-o ejatiyo Arbi shobdo. Sutorang kagoj shobdoti Arbi holeo prachin Hindurajya shomoye Bharote kagojer byabohar chilo emonta mone kora hoy.[4]",kagoj shobdoti kon dhoroner Bangla shobdo?,Kagoj shobdoti shombhoboto prachin Hindurajya-uttopotti Bangla shobdo.,
codemix-0121,"Hinduder deb-debigon Vaidik jug(khrishtopurbo ditiyo shotok) o moddhojuge(khrishtiyo prothom shotok) Nepal Bharat o Dokkhin-Purbo Eshiyay bohu bibortoner moddho diye bortoman obosthay pouchheche. [3][4] Hindu debota bolte jogshastrer ishtodebota[5][6], tetrish Vaidik debota[7] ba shotadhik pouranik debotader kotha bojhano jay[8]. Eder moddhe mukhyo debotara holen Vishnu, Shiv, Shri ba Lokkhi, Parboti ba Durga, Brombha ebong Saraswati. Protyek debotar alada alada jotil jotil choritroboli bidyoman holeo taderke onekshomoyei Brambhon name ek nirakar porom sottar ang",Hindu dhormogronthe mot kotogulo deb debir ullekh royeche?,Hindu dhormogronthe mot pray 108 jon deb-debir ullekh royeche.,
codemix-0122,"Manali shashon byabosthar dik theke Kullu jelaroi ontorgoto, er jonoshonkha kom-beshi 30,000. Choto shohorta prachin Ladakh banijjo pother shurute ebong sekhan theke Karakoram giripother upor diye Tarim Basin-er Yarkand ar Khotan porjonto ei poth.",Bortomane Manali shohorer mot jonsongkha koto?,"kom-beshi 30,000",
codemix-0123,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,"Sui samrajyer prothom somrat chilen Yang Guang, jaake onekei Sui Yangdi boleo chine.",
codemix-0124,"Madrasa shikkhay prothom protisthan chilo Safa porboter padeshe Zayed-bin-Arkamer barite - jekhane swoyong Rasul (s:) chilen shikkhok ebong shikkharthi chilen tar koyekjon onushari nowmuslim. Hijrater por Madinay Masjide Nababi-r purbopashe sthapit hoy Madrasa Ahle Suffa. Shikkhok chilen Ubada-ibn Samit ar shikkharthider moddhe chilen Abu Huraira (ra) Muayaz-ibn Jabal Gifari (ra) promukh. Sekaler madrasar pathyosuchite chilo, Quran, Hadis, Farayez, prothomik chikitsa, bongsho shastro, Tajbid ityadi. Echarao oshwo chalona, juddhobidya, hostolipi bidya, sh",Bishwer prothom madrasa shikkha protisthan kothay obosthito?,Bishwer prothom madrasa shikkha protisthan chilo Madinay Masjide Nababi-r purbopashe.,
codemix-0125,Sare 41 ekor jaygajure bistrito prasadti porikha o unchu prachirghera. Prasader purbopashe pyramid akritir chartola probeshdwar royeche ja uparer dike soru hoye geche ebong er upore ekta ghori-o royeche. Madhyajugiyo Bangladesher onnanno samonto prasader motoi Natore-r Rajbarite royeche dirgho probesh poth jar du dhare bottle palm-er subinnyash lokkhoniyo. Natore-r oitihashik Dighapatia-r Rajbari bortomane Uttora Gonobhobon. Pray tinshot bochorer prachin oitihashik oitijjobahi Dighapatia Rajbariti Natore-r Uttora Gonobhobon name porichito. Bangladesher prachin oitihashik nidorshong,Dighapatia rajbongsho kobe protishthito hoy?,"Dighapatia rajbongsho mone hoy pray tinshot bochor age, mane 1700 shaler dike protishthito hoy.",
codemix-0126,"Ponditra Maya shobhyotar juger shuru niye obiroto alochona kore jacchen. Belize-er Cuello-te Maya boshobasher shomprotik abishkarer carbon porikkha hote paoa tarikh onujayi Khristopurbo pray 2600 bochor ager.[3][4] Tara bismoykor kathamo nirmito kore. Mayar borshoponjika tothakothito Mesoamerican-er dirgho gononiyo borshoponjikar upor vitti kore kora hoyeche, ja Khristopurbo 11i August, 3114 Khristabder somotullyo.",Maya jonogoshthir abirbhab prothom kothay hoyechhilo?,Guatemala-r Peten anchole prothom.,
codemix-0127,"Shamsur Rahmaner prothom kabyo grontho Prothom Gaan, ditiyo Mrityur Age prokashito hoy 1960 sale.",Adhunik Bangla sahityer onnotomo prodhan kobi Shamsur Rahmaner rochito prothom kabyogranther nam ki?,Prothom gaan,
codemix-0128,Mohammad Hamidur Rahmaner jonmo 1953 saler 2 February tadaninton Jashore jeler (bortomane Jhenaidah jela) Maheshpur upojelar Khorddo Khalishpur grame.[1][4][5] Tar pitar nam Akkas Ali Mondol ebong mayer nam Mosammat Kaymunnesa. Shoishobe tini Khalishpur Prathomik Bidyaloy ebong porobortikale sthaniyo night school e samanno lekhapora koren.,Bangladesher shohid muktijoddha Mohammad Hamidur Rahman kobe jonmogrohon koren?,1953 saler 2 February,
codemix-0129,"Alauddin Khilji chilen Khilji bongser protishthata Jalaluddin Khiljir bhatija ebong jamata. Birbhumderke porajit kore Jalaluddin Khilji jokhon Dilli dokhol kore nen, tokhon Alauddin Khiljike Amir-i-Tujukh ba udjapon montri pod deya hoy. 1291 sale Jalaluddin Khilji tar bhatija Alauddin Khiljir hate Kara (Kanpurer nikotoborti ek elaka) namok oncholer shashonbhar tule den. 1296 sale Alauddin Khilji Bosila oborodh kore Jalaluddin Khiljir kach theke Abadh (Uttar-Pradesh) dokhol kore seta shashon kora shuru koren. 1296 sale Devagiri oborodh koren ebong Jalaluddiner bipul porimaner shompod",Khilji bongser protisthata ke?,Khilji bongser protisthata chilen Alauddin Khilji bole dhora hoy.,
codemix-0130,1997 shale Harry Potter and the Philosopher's Stone (Americate Harry Potter and Sorcerer's Stone name prokashito) name ei series-er prothom boi prokashito hoy. Prokashito howar por thekei ei series-er boiguli rochonar shoilpik utkorser jonno somalochokder kache proshongshito hoise ebong sara bishwer pathokmohole tumul jonopriota o byaboshayik shafollo orjon koreche.[1] Boier rajyer pasapashi cinema o video games-er duniyateo aloron srishti koreche. 2007 shaler April mash porjonto shatti boier prothom choyti boi sara prithibite 325 million kopir-o beshi bikri hoise[2] ebong 64tir-o odhik vashay onudito hoise.[3],Harry Potter uponnash-tar shorbosesh series-tar nam ki?,Harry Potter and the Goblet of Fire chilo shorbosesh series.,
codemix-0131,"Bharoter Songbidhan Bharotiyo Projatontorer sorbocho ain. Ei songbidhane sarkarer gothon, karyopoddhoti, khomota o kortobbo nirdharon; moulik odhikar, rashtraparichalonar nirdeshmulok niti, ebong nagorikder kortobbo nirdharoner maddhome desher moulik rajnaitik adorsher ruporekha nirdishto kora hoise. 1949 saler 26 November Gonoporishode grihito howar por 1950 saler 26 January theke ei songbidhan karyokori hoy.[1] Ullekhyo, 1930 saler 26 January Jatiyo Congress-er oitihashik shadhinota ghoshonar smritite 26 January tarikh-ti songbidhan probortoner jonno grihito hoyech",Bharoter songbidhan e mot koyti dharar ullekh royeche?,Bharoter songbidhan e mot 395 ti dharar ullekh royeche.,
